branch_name,branch_code,ukprn,jnches,notes
"Aberdeen, The University of",SC001,10007783,yes,
Abertay University,SC002,10007849,yes,
Aberystwyth University,WA002,10007856,yes,
Anglia Ruskin University,LE002,10000291,yes,
Arts University Bournemouth,SO009,10000385,yes,
Aston University,MD002,10007759,yes,
Bangor University,WA006,10007857,yes,
Bath Spa University,SO017,10000571,yes,
"Bath, University of",SO041,10007850,yes,
"Bedfordshire, University of",LE296,10007152,yes,
"Birkbeck, University of London",LE176,10007760,yes,
Birmingham Newman University,MD108,10007832,yes,
"Birmingham, The University of",MD020,10006840,yes,
Lincoln Bishop University,MD009,10007811,yes,formerly Bishop Grosseteste University
Bournemouth University,SO024,10000824,yes,
"Bradford, University of",NE018,10007785,yes,
"Brighton, University of",SO228,10000886,yes,
"Bristol, University of",SO042,10007786,yes,
Brunel University London,LE034,10000961,yes,
Buckinghamshire New University,SO040,10000975,yes,
"Cambridge, University of",LE070,10007788,yes,
Canterbury Christ Church University,SO046,10001143,yes,
Cardiff Metropolitan University,WA076,10007854,yes,
Cardiff University,WA042,10007814,yes,
"Chester, University of",NW019,10007848,yes,
"Chichester, University of",SO230,10007137,yes,
"City St George's, University of London",LE071,10001478,yes,City merged with St George's; UKPRN is former City University
Courtauld Institute of Art,LE426,10007761,yes,
Coventry University,MD039,10001726,yes,
"Cumbria, University of",NE195,10007842,yes,
De Montfort University,MD054,10001883,yes,
"Derby, University of",MD170,10007851,yes,
"Dundee, The University of",SC003,10007852,yes,
Durham University,NE049,10007143,yes,
"East Anglia, University of",LE089,10007789,yes,
"East London, University of",LE417,10007144,yes,
Edge Hill University,NW028,10007823,yes,
Edinburgh Napier University,SC009,10007772,yes,
"Edinburgh, University of",SC004,10007790,yes,
"Essex, University of",LE090,10007791,yes,
"Exeter, University of",SO097,10007792,yes,
Falmouth University,SO247,10008640,yes,
Glasgow Caledonian University,SC006,10007762,yes,
Glasgow School of Art,SC007,10002681,yes,
"Glasgow, University of",SC005,10007794,yes,
"Gloucestershire, University of",SO232,10007145,yes,
"Goldsmiths, University of London",LE097,10002718,yes,
"Greater Manchester, University of",NW013,10006841,yes,formerly University of Bolton
"Greenwich, University of",LE287,10007146,yes,
Harper Adams University,MD072,10040812,yes,
Heriot-Watt University,SC008,10007764,yes,
"Hertfordshire, University of",LE317,10007147,yes,
"Huddersfield, The University of",NE159,10007148,yes,
"Hull, The University of",NE079,10007149,yes,
Keele University,MD077,10007767,yes,
"Kent, The University of",SO133,10007150,yes,
King's College London,LE130,10003645,yes,
Kingston University London,LE135,10003678,yes,
"Lancashire, University of",NW119,10007141,yes,formerly University of Central Lancashire
Lancaster University,NW059,10007768,yes,
Leeds Beckett University,NE095,,yes,not in learning-providers CSV
Leeds Trinity University,NE153,10003863,yes,
"Leeds, The University of",NE099,10007795,yes,
"Leicester, University of",MD094,10007796,yes,
"Lincoln, University of",MD187,10007151,yes,
Liverpool Hope University,NW056,10003956,yes,
Liverpool Institute of Performing Arts,NW151,10003945,yes,
Liverpool John Moores University,NW057,10003957,yes,
Liverpool School of Tropical Medicine,NW060,,yes,not in learning-providers CSV; LSTM is independent research institute not OfS-registered
"Liverpool, University of",NW060,10006842,yes,note: branch code shared with LSTM
London Metropolitan University,LE158,10004048,yes,
London School of Economics and Political Science,LE175,10004063,yes,
London School of Hygiene and Tropical Medicine,LE178,10007771,yes,
London South Bank University,LE168,10004078,yes,
Loughborough University,MD095,10004113,yes,
Manchester Metropolitan University,NW070,10004180,yes,
"Manchester, The University of",NW081,10007798,yes,
Middlesex University,LE183,10004351,yes,
Newcastle University,NE120,10007799,yes,
"Northampton, The University of",MD188,10007138,yes,
Northumbria University,NE119,10001282,yes,
Norwich University of the Arts,LE203,10004775,yes,
"Nottingham, The University of",MD123,10007154,yes,
Open University,SO165,10007773,yes,
Oxford Brookes University,SO161,10004930,yes,
"Oxford, University of",SO166,10007774,yes,
Plymouth Marjon University,SO061,,yes,not in learning-providers CSV; check HESA directly
"Plymouth, University of",SO252,10007801,yes,
"Portsmouth, University of",SO236,10007155,yes,
Queen Margaret University,SC010,10005337,yes,
"Queen Mary, University of London",LE217,10007775,yes,
"Reading, University of",SO179,10007802,yes,
Robert Gordon University,SC011,10005500,yes,
Royal Agricultural University,SO180,10005545,yes,
Royal Central School of Speech and Drama,LE041,10007816,yes,
Royal College of Art,LE233,10007777,yes,
"Royal Holloway, University of London",SO181,10005553,yes,
Royal Northern College of Music,NW096,10007837,yes,
"Royal Veterinary College, University of London",LE234,10007779,yes,
"Salford, The University of",NW113,10007156,yes,
"Senate House, University of London",LE263,10007797,yes,University of London central
Sheffield Hallam University,NE136,10005790,yes,
"Sheffield, The University of",NE150,10007157,yes,
"SOAS, University of London",LE235,,yes,not in learning-providers CSV; check HESA directly
Southampton Solent University,SO196,10006022,yes,
"South Wales, University of",WA099,10007793,yes,
"Southampton, University of",SO211,10007158,yes,
"St Andrews, University of",SC013,10007803,yes,
St Mary's University College Belfast,NI031,10008026,yes,
St Mary's University Twickenham,LE253,10007843,yes,
"Stirling, The University of",SC014,10007804,yes,
Stranmillis University College,NI032,10008010,yes,
"Strathclyde, University of",SC015,10007805,yes,
"Suffolk, University of",LE412,10014001,yes,
"Sunderland, University of",NE163,10007159,yes,
"Surrey, University of",SO213,10007160,yes,
"Sussex, University of",SO214,10007806,yes,
Swansea University,WA070,10007855,yes,
Teesside University,NE165,10007161,yes,
Trinity Laban,LE274,10008017,yes,
UAL Camberwell Chelsea & Wimbledon,LE299,10007162,yes,UAL branch - shared UKPRN
UAL Central St Martins,LE277,10007162,yes,UAL branch - shared UKPRN
UAL London College of Communication,LE279,10007162,yes,UAL branch - shared UKPRN
UAL London College of Fashion,LE278,10007162,yes,UAL branch - shared UKPRN
University for the Creative Arts,SO223,10006427,yes,
Ulster University,NI038,10007807,yes,
University College Birmingham,MD004,10000712,yes,
University College London,LE275,10007784,yes,
University of Wales Trinity Saint David,WA067,10007858,yes,
"Warwick, University of",MD209,10007163,yes,
"West London, University of",LE265,10006566,yes,
"West of England, University of the",SO244,10007164,yes,
"West of Scotland, University of the",SC016,10007800,yes,
"Westminster, University of (Cavendish)",LE300,10007165,yes,Westminster branch - shared UKPRN
"Westminster, University of (Harrow)",LE301,10007165,yes,Westminster branch - shared UKPRN
"Westminster, University of (Marylebone)",LE302,10007165,yes,Westminster branch - shared UKPRN
"Westminster, University of (Regent)",LE303,10007165,yes,Westminster branch - shared UKPRN
"Winchester, The University of",SO246,10003614,yes,
"Wolverhampton, University of",MD179,10007166,yes,
"Worcester, University of",MD183,10007139,yes,
Wrexham University,WA058,,yes,not in learning-providers CSV; Welsh institution - check separately
York St John University,NE182,10007713,yes,
"York, University of",NE187,10007167,yes,
