constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Aberafan Maesteg,Wales,85,7905128.5,919498.11,6985630.38,80,1258810595.29,pre-2024 boundaries
Aberdeen North,Scotland,1665,179537535.23,20267013.37,159270521.87,1420,4211398343.47,pre-2024 boundaries
Aberdeen South,Scotland,2185,235302149.9,26561976.64,208740173.26,1860,4211398343.47,pre-2024 boundaries
Aberdeenshire North and Moray East,Scotland,340,36767676.69,4150502.53,32617174.15,330,4211398343.47,pre-2024 boundaries
Airdrie and Shotts,Scotland,455,48956463.48,5526428.21,43430035.27,470,4211398343.47,pre-2024 boundaries
Aldershot,South East,305,34880294.13,3314005.43,31566288.7,270,3571691172.66,pre-2024 boundaries
Aldridge-Brownhills,West Midlands,90,10227207.3,946443.47,9280763.84,100,3089054238.61,pre-2024 boundaries
Alloa and Grangemouth,Scotland,400,42990180.45,4852927.05,38137253.4,400,4211398343.47,pre-2024 boundaries
Altrincham and Sale West,North West,180,21651242.12,2112409.58,19538832.54,190,3042886993.32,pre-2024 boundaries
Alyn and Deeside,Wales,130,12365879.58,1438357.76,10927521.82,110,1258810595.29,pre-2024 boundaries
Amber Valley,East Midlands,40,4331164.7,386927.99,3944236.71,40,2527384329.97,pre-2024 boundaries
Angus and Perthshire Glens,Scotland,370,39915531.53,4505846.7,35409684.83,360,4211398343.47,pre-2024 boundaries
Arbroath and Broughty Ferry,Scotland,510,54739731.69,6179269.82,48560461.87,490,4211398343.47,pre-2024 boundaries
"Argyll, Bute and South Lochaber",Scotland,275,29373878.09,3315856.93,26058021.16,290,4211398343.47,pre-2024 boundaries
Arundel and South Downs,South East,70,8023312.21,762301.49,7261010.72,70,3571691172.66,pre-2024 boundaries
Ashfield,East Midlands,90,10324287.95,922328.35,9401959.6,100,2527384329.97,pre-2024 boundaries
Ashford,South East,250,28715012.12,2728236.92,25986775.2,240,3571691172.66,pre-2024 boundaries
Ashton-under-Lyne,North West,285,34991906.45,3413995.28,31577911.18,320,3042886993.32,pre-2024 boundaries
Aylesbury,South East,265,30361902.52,2884709.33,27477193.19,250,3571691172.66,pre-2024 boundaries
"Ayr, Carrick and Cumnock",Scotland,455,48993066.44,5530560.12,43462506.32,480,4211398343.47,pre-2024 boundaries
Banbury,South East,170,19636000.94,1865632.6,17770368.34,170,3571691172.66,pre-2024 boundaries
Bangor Aberconwy,Wales,860,82156871.18,9556212.54,72600658.64,790,1258810595.29,pre-2024 boundaries
Barking,London,1800,199395909.26,24868729.9,174527179.35,1300,9591194979.52,pre-2024 boundaries
Barnsley North,Yorkshire and the Humber,170,17638390.27,1680302.9,15958087.37,150,2934649994.01,pre-2024 boundaries
Barnsley South,Yorkshire and the Humber,185,19156927.18,1824964.74,17331962.44,170,2934649994.01,pre-2024 boundaries
Barrow and Furness,North West,35,4548947.84,443819.39,4105128.45,40,3042886993.32,pre-2024 boundaries
Basildon and Billericay,East of England,255,26467883.99,2672839.62,23795044.37,220,2304881140.55,pre-2024 boundaries
Basingstoke,South East,215,24407760.3,2319001.38,22088758.92,200,3571691172.66,pre-2024 boundaries
Bassetlaw,East Midlands,85,9871026.53,881835.89,8989190.64,90,2527384329.97,pre-2024 boundaries
Bath,South West,1995,240557652.36,21996025.61,218561626.75,2140,2156405285.39,pre-2024 boundaries
Bathgate and Linlithgow,Scotland,340,36694470.76,4142238.72,32552232.04,340,4211398343.47,pre-2024 boundaries
Battersea,London,1160,128844446.27,16069525.93,112774920.34,1030,9591194979.52,pre-2024 boundaries
Beaconsfield,South East,165,18538074.0,1761317.66,16776756.35,170,3571691172.66,pre-2024 boundaries
Beckenham and Penge,London,385,42426511.32,5291449.83,37135061.49,350,9591194979.52,pre-2024 boundaries
Bedford,East of England,560,57994614.32,5856543.09,52138071.23,470,2304881140.55,pre-2024 boundaries
Belfast East,Northern Ireland,550,47762063.29,6274404.45,41487658.84,410,952763278.06,pre-2024 boundaries
Belfast North,Northern Ireland,985,85581440.26,11242658.57,74338781.69,700,952763278.06,pre-2024 boundaries
Belfast South and Mid Down,Northern Ireland,5585,485797795.51,63818261.65,421979533.86,3530,952763278.06,pre-2024 boundaries
Belfast West,Northern Ireland,385,33266184.16,4370110.5,28896073.67,280,952763278.06,pre-2024 boundaries
Bermondsey and Old Southwark,London,2390,264730997.9,33017345.79,231713652.12,2170,9591194979.52,pre-2024 boundaries
"Berwickshire, Roxburgh and Selkirk",Scotland,365,39091964.86,4412878.75,34679086.11,360,4211398343.47,pre-2024 boundaries
Bethnal Green and Stepney,London,2865,317590257.91,39609971.81,277980286.1,2190,9591194979.52,pre-2024 boundaries
Beverley and Holderness,Yorkshire and the Humber,75,7592684.55,723309.19,6869375.36,80,2934649994.01,pre-2024 boundaries
Bexhill and Battle,South East,65,7558804.66,718168.25,6840636.41,80,3571691172.66,pre-2024 boundaries
Bexleyheath and Crayford,London,395,43904484.05,5475783.13,38428700.93,390,9591194979.52,pre-2024 boundaries
Bicester and Woodstock,South East,185,20818383.79,1977971.76,18840412.02,190,3571691172.66,pre-2024 boundaries
Birkenhead,North West,125,15440178.72,1506425.42,13933753.31,130,3042886993.32,pre-2024 boundaries
Birmingham Edgbaston,West Midlands,1590,181885591.96,16832007.55,165053584.41,1530,3089054238.61,pre-2024 boundaries
Birmingham Erdington,West Midlands,770,87901083.46,8134518.43,79766565.03,650,3089054238.61,pre-2024 boundaries
Birmingham Hall Green and Moseley,West Midlands,765,87504338.35,8097802.95,79406535.4,680,3089054238.61,pre-2024 boundaries
Birmingham Hodge Hill and Solihull North,West Midlands,680,77629793.37,7183995.47,70445797.9,580,3089054238.61,pre-2024 boundaries
Birmingham Ladywood,West Midlands,4040,462075805.85,42761294.99,419314510.87,2760,3089054238.61,pre-2024 boundaries
Birmingham Northfield,West Midlands,465,53163844.86,4919874.24,48243970.63,450,3089054238.61,pre-2024 boundaries
Birmingham Perry Barr,West Midlands,1185,135554579.56,12544455.46,123010124.11,1010,3089054238.61,pre-2024 boundaries
Birmingham Selly Oak,West Midlands,1515,173245365.1,16032426.0,157212939.11,1460,3089054238.61,pre-2024 boundaries
Birmingham Yardley,West Midlands,720,82434817.49,7628660.72,74806156.78,660,3089054238.61,pre-2024 boundaries
Bishop Auckland,North East,95,10139763.39,947962.54,9191800.85,100,1787629850.23,pre-2024 boundaries
Blackburn,North West,350,42558906.22,4152271.75,38406634.47,340,3042886993.32,pre-2024 boundaries
Blackley and Middleton South,North West,955,116173129.42,11334464.32,104838665.1,940,3042886993.32,pre-2024 boundaries
Blackpool North and Fleetwood,North West,60,7566999.77,738276.48,6828723.29,70,3042886993.32,pre-2024 boundaries
Blackpool South,North West,165,19901646.79,1941709.81,17959936.98,160,3042886993.32,pre-2024 boundaries
Blaenau Gwent and Rhymney,Wales,55,5194798.73,604241.62,4590557.11,50,1258810595.29,pre-2024 boundaries
Blaydon and Consett,North East,110,11765221.65,1099926.0,10665295.65,120,1787629850.23,pre-2024 boundaries
Blyth and Ashington,North East,120,12694054.94,1186762.26,11507292.67,110,1787629850.23,pre-2024 boundaries
Bognor Regis and Littlehampton,South East,155,17777970.74,1689099.62,16088871.12,150,3571691172.66,pre-2024 boundaries
Bolsover,East Midlands,60,6950008.47,620884.45,6329124.02,60,2527384329.97,pre-2024 boundaries
Bolton North East,North West,405,49338588.1,4813733.34,44524854.76,390,3042886993.32,pre-2024 boundaries
Bolton South and Walkden,North West,725,88442043.56,8628873.06,79813170.5,640,3042886993.32,pre-2024 boundaries
Bolton West,North West,190,23007178.49,2244701.89,20762476.6,210,3042886993.32,pre-2024 boundaries
Bootle,North West,140,17058554.4,1664322.7,15394231.7,150,3042886993.32,pre-2024 boundaries
Boston and Skegness,East Midlands,235,27044598.19,2416050.36,24628547.83,210,2527384329.97,pre-2024 boundaries
Bournemouth East,South West,740,89137882.08,8150558.16,80987323.91,760,2156405285.39,pre-2024 boundaries
Bournemouth West,South West,1285,154804062.2,14154919.14,140649143.06,1310,2156405285.39,pre-2024 boundaries
Bracknell,South East,230,26139106.62,2483498.02,23655608.61,230,3571691172.66,pre-2024 boundaries
Bradford East,Yorkshire and the Humber,775,80073619.39,7628130.04,72445489.35,610,2934649994.01,pre-2024 boundaries
Bradford South,Yorkshire and the Humber,385,40007607.06,3811283.06,36196324.0,330,2934649994.01,pre-2024 boundaries
Bradford West,Yorkshire and the Humber,1655,171302644.54,16318968.21,154983676.33,1280,2934649994.01,pre-2024 boundaries
Braintree,East of England,95,9591572.64,968597.84,8622974.8,80,2304881140.55,pre-2024 boundaries
"Brecon, Radnor and Cwm Tawe",Wales,55,5477124.75,637080.84,4840043.91,50,1258810595.29,pre-2024 boundaries
Brent East,London,1670,185050879.81,23079612.65,161971267.17,1200,9591194979.52,pre-2024 boundaries
Brent West,London,2260,250385968.46,31228228.53,219157739.93,1640,9591194979.52,pre-2024 boundaries
Brentford and Isleworth,London,1360,150535869.58,18774888.09,131760981.49,1020,9591194979.52,pre-2024 boundaries
Brentwood and Ongar,East of England,130,13436295.85,1356854.37,12079441.49,120,2304881140.55,pre-2024 boundaries
Bridgend,Wales,120,11518901.53,1339840.11,10179061.42,110,1258810595.29,pre-2024 boundaries
Bridgwater,South West,120,14683460.06,1342621.03,13340839.03,130,2156405285.39,pre-2024 boundaries
Bridlington and The Wolds,Yorkshire and the Humber,55,5665310.78,539699.94,5125610.84,60,2934649994.01,pre-2024 boundaries
Brigg and Immingham,Yorkshire and the Humber,55,5548500.25,528572.1,5019928.15,60,2934649994.01,pre-2024 boundaries
Brighton Kemptown and Peacehaven,South East,845,96068606.73,9127557.33,86941049.4,910,3571691172.66,pre-2024 boundaries
Brighton Pavilion,South East,1690,192686176.92,18307272.13,174378904.79,1690,3571691172.66,pre-2024 boundaries
Bristol Central,South West,3000,361573380.82,33061419.03,328511961.79,3510,2156405285.39,pre-2024 boundaries
Bristol East,South West,780,94050563.88,8599762.23,85450801.65,780,2156405285.39,pre-2024 boundaries
Bristol North East,South West,660,79585445.23,7277105.82,72308339.41,730,2156405285.39,pre-2024 boundaries
Bristol North West,South West,670,80731737.66,7381920.1,73349817.55,670,2156405285.39,pre-2024 boundaries
Bristol South,South West,370,44759989.78,4092748.13,40667241.65,390,2156405285.39,pre-2024 boundaries
Broadland and Fakenham,East of England,45,4654138.62,469994.73,4184143.89,40,2304881140.55,pre-2024 boundaries
Bromley and Biggin Hill,London,305,33819493.66,4217979.48,29601514.18,300,9591194979.52,pre-2024 boundaries
Bromsgrove,West Midlands,65,7317743.16,677196.62,6640546.54,70,3089054238.61,pre-2024 boundaries
Broxbourne,East of England,305,31445788.78,3175529.64,28270259.14,260,2304881140.55,pre-2024 boundaries
Broxtowe,East Midlands,605,69097185.7,6172851.21,62924334.49,670,2527384329.97,pre-2024 boundaries
Buckingham and Bletchley,South East,440,50335727.13,4782438.83,45553288.3,430,3571691172.66,pre-2024 boundaries
Burnley,North West,205,24975473.23,2436739.13,22538734.1,200,3042886993.32,pre-2024 boundaries
Burton and Uttoxeter,West Midlands,230,26449674.06,2447698.63,24001975.44,210,3089054238.61,pre-2024 boundaries
Bury North,North West,245,30005559.78,2927500.95,27078058.83,260,3042886993.32,pre-2024 boundaries
Bury South,North West,295,35735484.46,3486542.68,32248941.79,300,3042886993.32,pre-2024 boundaries
Bury St Edmunds and Stowmarket,East of England,140,14650418.97,1479461.69,13170957.28,130,2304881140.55,pre-2024 boundaries
Caerfyrddin,Wales,110,10558993.07,1228186.77,9330806.3,100,1258810595.29,pre-2024 boundaries
Caerphilly,Wales,55,5194798.73,604241.62,4590557.11,50,1258810595.29,pre-2024 boundaries
"Caithness, Sutherland and Easter Ross",Scotland,245,26244324.72,2962578.71,23281746.01,240,4211398343.47,pre-2024 boundaries
Calder Valley,Yorkshire and the Humber,85,8760789.87,834587.53,7926202.34,80,2934649994.01,pre-2024 boundaries
Camborne and Redruth,South West,115,13646338.35,1247789.06,12398549.28,130,2156405285.39,pre-2024 boundaries
Cambridge,East of England,4680,483018647.52,48777279.66,434241367.86,3500,2304881140.55,pre-2024 boundaries
Cannock Chase,West Midlands,65,7317743.16,677196.62,6640546.54,70,3089054238.61,pre-2024 boundaries
Canterbury,South East,1695,193024000.59,18339369.03,174684631.56,1630,3571691172.66,pre-2024 boundaries
Cardiff East,Wales,2335,223037554.06,25942982.5,197094571.56,1820,1258810595.29,pre-2024 boundaries
Cardiff North,Wales,685,65273775.32,7592427.28,57681348.03,610,1258810595.29,pre-2024 boundaries
Cardiff South and Penarth,Wales,3260,311687923.65,36254497.06,275433426.59,2600,1258810595.29,pre-2024 boundaries
Cardiff West,Wales,650,62111723.92,7224628.04,54887095.88,530,1258810595.29,pre-2024 boundaries
Carlisle,North West,115,14040502.46,1369865.6,12670636.86,120,3042886993.32,pre-2024 boundaries
Carshalton and Wallington,London,430,47903704.38,5974567.33,41929137.05,400,9591194979.52,pre-2024 boundaries
Castle Point,East of England,50,5301670.95,535385.31,4766285.65,50,2304881140.55,pre-2024 boundaries
Central Ayrshire,Scotland,470,50475486.46,5697902.43,44777584.03,510,4211398343.47,pre-2024 boundaries
Central Devon,South West,60,7041510.59,643859.16,6397651.43,70,2156405285.39,pre-2024 boundaries
Central Suffolk and North Ipswich,East of England,100,10117692.66,1021727.68,9095964.97,100,2304881140.55,pre-2024 boundaries
Ceredigion Preseli,Wales,855,81535753.94,9483966.26,72051787.68,770,1258810595.29,pre-2024 boundaries
Chatham and Aylesford,South East,245,27828224.98,2643982.54,25184242.44,240,3571691172.66,pre-2024 boundaries
Cheadle,North West,145,17670912.76,1724067.61,15946845.14,170,3042886993.32,pre-2024 boundaries
Chelmsford,East of England,375,38932881.35,3931608.13,35001273.22,330,2304881140.55,pre-2024 boundaries
Chelsea and Fulham,London,1715,190093375.01,23708514.47,166384860.54,1390,9591194979.52,pre-2024 boundaries
Cheltenham,South West,340,40829844.33,3733384.88,37096459.45,370,2156405285.39,pre-2024 boundaries
Chesham and Amersham,South East,140,16215536.26,1540651.43,14674884.82,150,3571691172.66,pre-2024 boundaries
Chester North and Neston,North West,425,51613062.02,5035643.03,46577418.98,490,3042886993.32,pre-2024 boundaries
Chester South and Eddisbury,North West,85,10278872.52,1002861.11,9276011.41,100,3042886993.32,pre-2024 boundaries
Chesterfield,East Midlands,70,7755806.56,692871.05,7062935.5,80,2527384329.97,pre-2024 boundaries
Chichester,South East,195,22296362.35,2118395.72,20177966.63,190,3571691172.66,pre-2024 boundaries
Chingford and Woodford Green,London,565,62900780.62,7845008.1,55055772.51,500,9591194979.52,pre-2024 boundaries
Chippenham,South West,135,15993508.54,1462408.78,14531099.76,150,2156405285.39,pre-2024 boundaries
Chipping Barnet,London,640,71073100.42,8864262.78,62208837.64,550,9591194979.52,pre-2024 boundaries
Chorley,North West,60,7042121.17,687066.55,6355054.62,60,3042886993.32,pre-2024 boundaries
Christchurch,South West,65,8024046.95,733699.97,7290346.98,80,2156405285.39,pre-2024 boundaries
Cities of London and Westminster,London,3630,402660629.48,50219979.31,352440650.17,2940,9591194979.52,pre-2024 boundaries
City of Durham,North East,2870,302567443.55,28286912.7,274280530.85,2720,1787629850.23,pre-2024 boundaries
Clacton,East of England,45,4654138.62,469994.73,4184143.89,40,2304881140.55,pre-2024 boundaries
Clapham and Brixton Hill,London,835,92329825.87,11515409.27,80814416.6,770,9591194979.52,pre-2024 boundaries
Clwyd East,Wales,90,8808571.76,1024583.61,7783988.14,80,1258810595.29,pre-2024 boundaries
Clwyd North,Wales,140,13156392.43,1530307.58,11626084.85,120,1258810595.29,pre-2024 boundaries
Coatbridge and Bellshill,Scotland,495,53257311.67,6011927.51,47245384.16,500,4211398343.47,pre-2024 boundaries
Colchester,East of England,1170,120967133.43,12215776.2,108751357.23,950,2304881140.55,pre-2024 boundaries
Colne Valley,Yorkshire and the Humber,145,14834937.51,1413234.89,13421702.62,140,2934649994.01,pre-2024 boundaries
Congleton,North West,40,4811387.14,469424.35,4341962.79,50,3042886993.32,pre-2024 boundaries
Corby and East Northamptonshire,East Midlands,285,32433372.88,2897460.77,29535912.11,250,2527384329.97,pre-2024 boundaries
Coventry East,West Midlands,1130,129118492.21,11948848.79,117169643.42,990,3089054238.61,pre-2024 boundaries
Coventry North West,West Midlands,945,108179166.91,10011087.38,98168079.53,920,3089054238.61,pre-2024 boundaries
Coventry South,West Midlands,4200,480458329.32,44462445.53,435995883.79,3630,3089054238.61,pre-2024 boundaries
Cowdenbeath and Kirkcaldy,Scotland,430,46119733.82,5206205.27,40913528.55,430,4211398343.47,pre-2024 boundaries
Cramlington and Killingworth,North East,115,12229638.29,1143344.13,11086294.16,110,1787629850.23,pre-2024 boundaries
Crawley,South East,410,46788578.57,4445421.33,42343157.25,360,3571691172.66,pre-2024 boundaries
Crewe and Nantwich,North West,195,23488317.21,2291644.33,21196672.88,190,3042886993.32,pre-2024 boundaries
Croydon East,London,680,75507018.61,9417262.67,66089755.95,600,9591194979.52,pre-2024 boundaries
Croydon South,London,405,44773879.78,5584214.48,39189665.3,390,9591194979.52,pre-2024 boundaries
Croydon West,London,1340,148623198.99,18536339.12,130086859.87,1060,9591194979.52,pre-2024 boundaries
Cumbernauld and Kirkintilloch,Scotland,550,58985675.44,6658571.26,52327104.18,570,4211398343.47,pre-2024 boundaries
Dagenham and Rainham,London,1080,119933140.1,14958104.6,104975035.5,880,9591194979.52,pre-2024 boundaries
Darlington,North East,255,26626554.26,2489306.21,24137248.05,250,1787629850.23,pre-2024 boundaries
Dartford,South East,385,43663709.61,4148524.96,39515184.65,360,3571691172.66,pre-2024 boundaries
Daventry,East Midlands,145,16720310.24,1493722.01,15226588.23,150,2527384329.97,pre-2024 boundaries
Derby North,East Midlands,800,91558807.29,8179477.77,83379329.52,810,2527384329.97,pre-2024 boundaries
Derby South,East Midlands,820,93825114.4,8381940.09,85443174.31,720,2527384329.97,pre-2024 boundaries
Derbyshire Dales,East Midlands,45,5338412.31,476911.25,4861501.06,50,2527384329.97,pre-2024 boundaries
Dewsbury and Batley,Yorkshire and the Humber,325,33407812.03,3182560.46,30225251.57,290,2934649994.01,pre-2024 boundaries
Didcot and Wantage,South East,140,15877712.58,1508554.53,14369158.05,140,3571691172.66,pre-2024 boundaries
Doncaster Central,Yorkshire and the Humber,495,51163012.83,4873991.19,46289021.64,410,2934649994.01,pre-2024 boundaries
Doncaster East and the Isle of Axholme,Yorkshire and the Humber,110,11330621.56,1079399.87,10251221.69,110,2934649994.01,pre-2024 boundaries
Doncaster North,Yorkshire and the Humber,110,11505837.36,1096091.63,10409745.73,110,2934649994.01,pre-2024 boundaries
Dorking and Horley,South East,135,15328749.12,1456397.06,13872352.06,150,3571691172.66,pre-2024 boundaries
Dover and Deal,South East,110,12710615.66,1207646.05,11502969.61,110,3571691172.66,pre-2024 boundaries
Droitwich and Evesham,West Midlands,85,9654131.03,893410.0,8760721.03,90,3089054238.61,pre-2024 boundaries
Dudley,West Midlands,245,28301151.25,2619037.53,25682113.72,250,3089054238.61,pre-2024 boundaries
Dulwich and West Norwood,London,755,83679338.42,10436517.35,73242821.07,680,9591194979.52,pre-2024 boundaries
Dumfries and Galloway,Scotland,295,31753070.71,3584431.01,28168639.7,290,4211398343.47,pre-2024 boundaries
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,250,26683560.28,3012161.62,23671398.66,270,4211398343.47,pre-2024 boundaries
Dundee Central,Scotland,2505,269672332.48,30441839.14,239230493.35,2260,4211398343.47,pre-2024 boundaries
Dunfermline and Dollar,Scotland,370,40025340.42,4518242.43,35507097.99,370,4211398343.47,pre-2024 boundaries
Dunstable and Leighton Buzzard,East of England,325,33307444.23,3363527.54,29943916.69,280,2304881140.55,pre-2024 boundaries
Dwyfor Meirionnydd,Wales,95,9316758.59,1083694.21,8233064.38,90,1258810595.29,pre-2024 boundaries
Ealing Central and Acton,London,2085,230954974.03,28804787.88,202150186.16,1530,9591194979.52,pre-2024 boundaries
Ealing North,London,1210,134191229.97,16736378.73,117454851.24,920,9591194979.52,pre-2024 boundaries
Ealing Southall,London,1285,142407019.56,17761054.97,124645964.59,1000,9591194979.52,pre-2024 boundaries
Earley and Woodley,South East,745,84835969.63,8060335.24,76775634.39,720,3571691172.66,pre-2024 boundaries
Easington,North East,95,9752749.52,911780.76,8840968.76,90,1787629850.23,pre-2024 boundaries
East Antrim,Northern Ireland,325,28434224.45,3735345.84,24698878.61,250,952763278.06,pre-2024 boundaries
East Grinstead and Uckfield,South East,100,11401548.93,1083270.54,10318278.39,110,3571691172.66,pre-2024 boundaries
East Ham,London,2370,262774857.52,32773375.25,230001482.27,1760,9591194979.52,pre-2024 boundaries
East Hampshire,South East,80,8825643.43,838531.64,7987111.79,90,3571691172.66,pre-2024 boundaries
East Kilbride and Strathaven,Scotland,550,59351705.07,6699890.35,52651814.72,550,4211398343.47,pre-2024 boundaries
East Londonderry,Northern Ireland,425,37168920.85,4882805.02,32286115.83,310,952763278.06,pre-2024 boundaries
East Renfrewshire,Scotland,665,71595396.31,8082013.89,63513382.42,660,4211398343.47,pre-2024 boundaries
East Surrey,South East,115,13090667.29,1243755.06,11846912.23,120,3571691172.66,pre-2024 boundaries
East Thanet,South East,135,15497660.95,1472445.51,14025215.44,130,3571691172.66,pre-2024 boundaries
East Wiltshire,South West,155,18831946.92,1721948.91,17109998.01,170,2156405285.39,pre-2024 boundaries
East Worthing and Shoreham,South East,115,13006211.37,1235730.84,11770480.53,120,3571691172.66,pre-2024 boundaries
Eastbourne,South East,280,32008792.92,3041181.74,28967611.18,280,3571691172.66,pre-2024 boundaries
Eastleigh,South East,110,12668387.7,1203633.93,11464753.77,120,3571691172.66,pre-2024 boundaries
Edinburgh East and Musselburgh,Scotland,2535,272728679.92,30786853.53,241941826.39,2130,4211398343.47,pre-2024 boundaries
Edinburgh North and Leith,Scotland,1410,151646077.16,17118498.75,134527578.41,1220,4211398343.47,pre-2024 boundaries
Edinburgh South,Scotland,2430,261436665.73,29512159.63,231924506.1,2320,4211398343.47,pre-2024 boundaries
Edinburgh South West,Scotland,1790,192549888.7,21735906.99,170813981.71,1600,4211398343.47,pre-2024 boundaries
Edinburgh West,Scotland,555,59516418.41,6718483.94,52797934.47,540,4211398343.47,pre-2024 boundaries
Edmonton and Winchmore Hill,London,1125,124627877.01,15543633.89,109084243.12,860,9591194979.52,pre-2024 boundaries
Ellesmere Port and Bromborough,North West,85,10191392.75,994326.12,9197066.63,100,3042886993.32,pre-2024 boundaries
Eltham and Chislehurst,London,620,68551852.82,8549811.87,60002040.95,550,9591194979.52,pre-2024 boundaries
Ely and East Cambridgeshire,East of England,180,18616554.49,1879978.94,16736575.55,160,2304881140.55,pre-2024 boundaries
Enfield North,London,1015,112804095.16,14068967.54,98735127.63,780,9591194979.52,pre-2024 boundaries
Epping Forest,East of England,310,32214733.42,3253180.95,28961552.48,280,2304881140.55,pre-2024 boundaries
Epsom and Ewell,South East,315,35851537.19,3406284.03,32445253.16,300,3571691172.66,pre-2024 boundaries
Erewash,East Midlands,80,9317040.35,832345.1,8484695.25,90,2527384329.97,pre-2024 boundaries
Erith and Thamesmead,London,1655,183399027.94,22873593.08,160525434.86,1190,9591194979.52,pre-2024 boundaries
